time,u10_era5,v10_era5,mwd_era5,mwp_era5,swh_era5,pp1d_era5,uo_cop,vo_cop,swh_cop,mwp_cop,mwd_cop,peak_period_cop
01/01/2025 00:00,-6.306534,14.981308,172.33765,8.959626,4.7514877,10.330421,0.01953125,0.16015625,5.1,7.56,175.07,10.85
01/01/2025 01:00,-4.723419,14.342773,171.36377,8.907424,4.758851,10.286964,0.026367188,0.1640625,,,,
01/01/2025 02:00,-3.9784393,12.770416,171.11426,8.913869,4.665862,10.272316,0.038085938,0.16210938,,,,
01/01/2025 03:00,-3.1641235,15.130005,171.06311,8.911307,4.5657883,10.260597,0.053710938,0.15527344,5.03,7.6,174.16,10.71
01/01/2025 04:00,-3.343689,12.074799,171.16702,8.862277,4.541395,10.223,0.0703125,0.14355469,,,,
01/01/2025 05:00,-2.9358978,11.948914,171.44122,8.874707,4.4166555,10.221046,0.07519531,0.13085938,,,,
01/01/2025 06:00,-0.7085724,12.580093,171.9151,8.895939,4.345872,10.236183,0.07519531,0.111328125,4.62,7.54,175.99,10.64
01/01/2025 07:00,0.7373657,13.212219,173.10973,8.885189,4.235777,10.231789,0.068359375,0.08984375,,,,
01/01/2025 08:00,2.720642,11.730728,174.65683,8.855378,4.144724,10.214699,0.059570312,0.076171875,,,,
01/01/2025 09:00,3.0245514,11.224747,175.76598,8.832653,4.0497637,10.190773,0.046875,0.06640625,4.43,7.48,179.38,10.55
01/01/2025 10:00,1.976059,9.755066,176.21924,8.8358135,3.9403067,10.165382,0.037109375,0.061523438,,,,
01/01/2025 11:00,2.6154785,9.137161,176.44554,8.848214,3.825512,10.14048,0.030273438,0.05859375,,,,
01/01/2025 12:00,2.9544983,8.406555,176.61766,8.855342,3.7134876,10.114601,0.028320312,0.056640625,4.07,7.48,181.48,10.26
01/01/2025 13:00,2.7143097,8.145386,176.62273,8.866408,3.6023846,10.087257,0.0234375,0.05859375,,,,
01/01/2025 14:00,2.5603638,8.434311,176.6731,8.85654,3.5040646,10.056984,0.017578125,0.06542969,,,,
01/01/2025 15:00,2.8013,8.953506,177.03282,8.811334,3.4254742,10.023293,0.013671875,0.07519531,3.67,7.11,182.69,10
01/01/2025 16:00,2.9547882,9.851776,177.88895,8.730944,3.3686028,9.986183,0.012695313,0.0859375,,,,
01/01/2025 17:00,2.8969574,10.158768,178.99655,8.648997,3.3229628,9.944191,0.014648438,0.095703125,,,,
01/01/2025 18:00,1.9521179,10.097733,180.28235,8.65201,3.356906,9.960304,0.017578125,0.10253906,3.5,6.84,184.19,9.88
01/01/2025 19:00,1.7926788,10.447617,181.80916,8.600104,3.322732,9.913429,0.021484375,0.10839844,,,,
01/01/2025 20:00,1.6580505,10.59613,183.72063,8.5531645,3.3100395,9.866066,0.028320312,0.11230469,,,,
01/01/2025 21:00,1.7279816,10.985352,185.82379,8.530509,3.309309,9.824074,0.033203125,0.115234375,3.55,6.76,189.4,9.79
01/01/2025 22:00,1.4172821,10.733231,188.24692,8.511002,3.3344336,9.793312,0.040039062,0.119140625,,,,
01/01/2025 23:00,1.9800415,11.433334,190.99608,8.513383,3.3748798,9.783058,0.048828125,0.12109375,,,,
02/01/2025 00:00,2.2644043,11.404327,193.99341,8.519559,3.4364204,9.799171,0.05859375,0.12207031,3.8,6.93,198.2,10
02/01/2025 01:00,2.392517,11.717804,196.88403,8.5461035,3.5050316,9.841164,0.068359375,0.119140625,,,,
02/01/2025 02:00,2.6950989,11.639908,199.69551,8.565843,3.5902348,9.897316,0.07421875,0.11035156,,,,
02/01/2025 03:00,2.7832947,11.421112,202.39445,8.60108,3.666174,9.95591,0.07519531,0.09863281,4.1,7.22,207.64,10.4
02/01/2025 04:00,2.1960907,11.127106,204.78514,8.695044,3.6913214,10.021828,0.07128906,0.08496094,,,,
02/01/2025 05:00,1.2497711,11.223663,206.70473,8.831086,3.7555323,10.121437,0.0625,0.072265625,,,,
02/01/2025 06:00,1.0808411,11.770172,207.98503,8.8843775,3.7694464,10.169777,0.047851562,0.06347656,4.31,7.42,212.24,10.75
